Date,Cloud Agent ID,Automation ID,Kind,Model,Max Mode,Input (w/ Cache Write),Input (w/o Cache Write),Cache Read,Output Tokens,Total Tokens,Cost
"2026-05-04T16:12:01.615Z","","","Included","composer-2-fast","Yes","0","39963","966696","7129","1013788","Included"
"2026-05-04T16:11:39.922Z","","","Included","claude-opus-4-7-thinking-max","Yes","80293","1652","461373","16274","559592","Included"
"2026-05-04T16:07:09.964Z","","","Included","composer-2-fast","Yes","0","82158","722044","8520","812722","Included"
"2026-05-04T16:03:04.232Z","","","Included","composer-2-fast","Yes","0","68784","632938","4825","706547","Included"
"2026-05-04T15:52:46.816Z","","","Included","claude-opus-4-7-thinking-max","Yes","107621","1849","2287325","16679","2413474","Included"
"2026-05-04T15:45:39.153Z","","","Included","composer-2-fast","Yes","0","48981","370952","3126","423059","Included"
"2026-05-04T15:37:15.704Z","","","Included","claude-opus-4-7-thinking-max","Yes","91435","1824","1038392","14708","1146359","Included"
"2026-04-30T22:02:55.588Z","","","Included","gpt-5.5-extra-high","Yes","0","70586","439721","1681","511988","Included"
"2026-04-30T22:00:55.806Z","","","Included","gpt-5.5-extra-high","Yes","0","144164","188808","1272","334244","Included"
"2026-04-30T21:59:26.102Z","","","Included","gpt-5.5-extra-high","Yes","0","84827","642037","3902","730766","Included"
"2026-04-30T21:55:11.286Z","","","Included","gpt-5.5-extra-high","Yes","0","3313","429056","1006","433375","Included"
"2026-04-30T21:54:33.528Z","","","Included","gpt-5.5-extra-high","Yes","0","5694","216953","964","223611","Included"
"2026-04-30T21:52:52.829Z","","","Included","gpt-5.5-extra-high","Yes","0","20244","1511424","2975","1534643","Included"
"2026-04-30T21:49:42.434Z","","","Included","gpt-5.5-extra-high","Yes","0","23658","2102799","4142","2130599","Included"
"2026-04-30T21:46:59.562Z","","","Included","gpt-5.5-extra-high","Yes","0","21982","2049106","3121","2074209","Included"
"2026-04-30T21:44:22.379Z","","","Included","gpt-5.5-extra-high","Yes","0","18895","593920","1175","613990","Included"
"2026-04-30T21:41:19.613Z","","","Included","gpt-5.5-extra-high","Yes","0","48506","3287107","2644","3338257","Included"
"2026-04-30T21:41:00.957Z","","","Included","gpt-5.5-extra-high","Yes","0","188876","2515","1312","192703","Included"
"2026-04-30T21:39:37.355Z","","","Included","gpt-5.5-extra-high","Yes","0","21169","1326080","2271","1349520","Included"
"2026-04-30T21:35:44.824Z","","","Included","gpt-5.5-extra-high","Yes","0","97672","2673197","6094","2776963","Included"
"2026-04-30T21:33:03.503Z","","","Included","gpt-5.5-extra-high","Yes","0","112780","2692072","4364","2809216","Included"
"2026-04-30T21:26:40.434Z","","","Included","gpt-5.5-extra-high","Yes","0","406053","6578851","12038","6996942","Included"
"2026-04-30T21:25:31.880Z","","","Included","gpt-5.5-extra-high","Yes","0","119060","9175","2067","130302","Included"
"2026-04-30T21:11:35.450Z","","","Included","gpt-5.5-extra-high","Yes","0","359945","6546107","26003","6932055","Included"
"2026-04-30T21:10:40.805Z","","","Included","gpt-5.5-extra-high","Yes","0","58405","72060","771","131236","Included"
"2026-04-30T21:10:09.227Z","","","Included","gpt-5.5-extra-high","Yes","0","4133","186762","1130","192025","Included"
"2026-04-30T21:09:11.314Z","","","Included","gpt-5.5-extra-high","Yes","0","29580","34217","707","64504","Included"
"2026-04-30T20:53:51.228Z","","","Included","gpt-5.5-extra-high","Yes","0","34454","592974","6247","633675","Included"
"2026-04-30T20:50:03.429Z","","","Included","gpt-5.5-extra-high","Yes","0","48207","231936","2477","282620","Included"
"2026-04-30T20:15:06.217Z","","","Included","gpt-5.5-extra-high","Yes","0","935525","2904576","23747","3863848","Included"
"2026-04-30T20:12:16.679Z","","","Included","gpt-5.5-extra-high","Yes","0","105401","344112","5409","454922","Included"
"2026-04-30T20:11:24.080Z","","","Errored, No Charge","gpt-5.5-extra-high","Yes","0","0","0","0","0","-"
"2026-04-30T20:05:46.636Z","","","Included","claude-4.5-sonnet","Yes","26106","1137","318969","2421","348633","Included"
"2026-04-30T20:01:43.589Z","","","Included","gpt-5.5-extra-high","Yes","0","500955","776815","12679","1290449","Included"
"2026-04-30T20:00:38.385Z","","","Included","composer-2-fast","Yes","0","19743","208276","3648","231667","Included"
"2026-04-30T20:00:24.485Z","","","Included","gpt-5.5-extra-high","Yes","0","36269","106535","3508","146312","Included"
"2026-04-30T19:57:30.550Z","","","Included","gpt-5.5-extra-high","Yes","0","122808","139117","399","262324","Included"
"2026-04-30T19:56:10.927Z","","","Included","gpt-5.5-extra-high","Yes","0","122548","138628","1283","262459","Included"
"2026-04-30T19:52:38.900Z","","","Included","gpt-5.5-extra-high","Yes","0","133134","373657","1588","508379","Included"
"2026-04-30T19:51:20.817Z","","","Included","gpt-5.5-extra-high","Yes","0","62016","178176","1249","241441","Included"
"2026-04-30T19:49:57.653Z","","","Errored, No Charge","gpt-5.5-extra-high","Yes","0","0","0","0","0","-"
"2026-04-30T19:45:15.222Z","","","Included","gpt-5.5-extra-high","Yes","0","67675","2107468","7526","2182669","Included"
"2026-04-30T19:39:38.250Z","","","Included","gpt-5.5-extra-high","Yes","0","3095","34228","1014","38337","Included"
"2026-04-30T19:37:38.426Z","","","Included","gpt-5.5-extra-high","Yes","0","37153","81379","2648","121180","Included"
"2026-04-30T19:28:28.099Z","","","Included","gpt-5.5-extra-high","Yes","0","60991","181817","4701","247509","Included"
"2026-04-30T19:18:40.287Z","","","Included","gpt-5.5-extra-high","Yes","0","1628223","4177073","28301","5833597","Included"
"2026-04-30T19:17:32.068Z","","","Included","gpt-5.5-extra-high","Yes","0","49550","10186","622","60358","Included"
"2026-04-30T19:14:03.231Z","","","Included","gpt-5.5-extra-high","Yes","0","139672","305606","3010","448288","Included"
"2026-04-30T19:11:57.236Z","","","Included","gpt-5.5-extra-high","Yes","0","43941","247296","1553","292790","Included"
"2026-04-30T19:09:57.165Z","","","Included","gpt-5.5-extra-high","Yes","0","38375","91154","3302","132831","Included"
"2026-04-30T18:08:45.592Z","","","Included","gpt-5.5-extra-high","Yes","0","52052","293969","3108","349129","Included"
"2026-04-30T18:06:33.379Z","","","Included","gpt-5.5-extra-high","Yes","0","14557","22016","822","37395","Included"
"2026-04-30T17:17:37.151Z","","","Included","gpt-5.5-extra-high","Yes","0","25119","1070574","2852","1098545","Included"
"2026-04-30T17:12:09.288Z","","","Included","gpt-5.5-extra-high","Yes","0","37323","1113075","5680","1156078","Included"
"2026-04-30T17:05:07.692Z","","","Included","gpt-5.5-extra-high","Yes","0","37827","2254372","7086","2299285","Included"
"2026-04-30T17:02:57.819Z","","","Included","gpt-5.5-extra-high","Yes","0","96342","696835","2486","795663","Included"
"2026-04-30T17:02:54.373Z","","","Errored, No Charge","gpt-5.5-extra-high","Yes","0","0","0","0","0","-"
"2026-04-30T16:51:02.332Z","","","Included","gpt-5.5-extra-high","Yes","0","106325","3095717","14962","3217004","Included"
"2026-04-30T16:49:37.457Z","","","Included","composer-2-fast","Yes","0","29108","107333","4272","140713","Included"
"2026-04-30T16:49:37.184Z","","","Included","composer-2-fast","Yes","0","244844","2680","6111","253635","Included"
"2026-04-30T16:49:37.180Z","","","Included","composer-2-fast","Yes","0","71207","424903","6282","502392","Included"
"2026-04-30T16:49:23.519Z","","","Included","gpt-5.5-extra-high","Yes","0","73121","72204","3660","148985","Included"
"2026-04-30T16:28:00.332Z","","","Included","claude-opus-4-7-thinking-max","Yes","231902","3859","6773826","50346","7059933","Included"
"2026-04-30T16:25:27.209Z","","","Included","gpt-5.5-extra-high","Yes","0","151914","311808","2547","466269","Included"
"2026-04-30T16:14:46.232Z","","","Included","gpt-5.5-extra-high","Yes","0","239906","2610347","32871","2883124","Included"
"2026-04-30T16:05:41.542Z","","","Included","gpt-5.5-extra-high","Yes","0","123965","2002432","31775","2158172","Included"
"2026-04-30T16:03:33.416Z","","","Included","gpt-5.5-extra-high","Yes","0","40915","116167","1881","158963","Included"
"2026-04-30T16:00:11.129Z","","","Included","gpt-5.5-extra-high","Yes","0","21888","492595","1990","516473","Included"
"2026-04-30T16:00:01.921Z","","","Included","gpt-5.5-extra-high","Yes","0","0","0","0","0","Included"
"2026-04-30T15:52:33.671Z","","","Included","gpt-5.5-extra-high","Yes","0","160222","489959","2441","652622","Included"
"2026-04-30T15:51:30.780Z","","","Included","gpt-5.5-extra-high","Yes","0","43477","190976","1894","236347","Included"
"2026-04-30T15:44:10.709Z","","","Included","gpt-5.5-extra-high","Yes","0","3514","629659","1243","634416","Included"
"2026-04-30T15:42:02.668Z","","","Included","gpt-5.5-extra-high","Yes","0","11300","147859","855","160014","Included"
"2026-04-30T15:38:21.777Z","","","Included","gpt-5.5-extra-high","Yes","0","151296","761827","3066","916189","Included"
"2026-04-29T21:48:34.874Z","","","Included","gpt-5.5-extra-high","Yes","0","26218","1851910","4413","1882541","Included"
"2026-04-29T21:41:19.847Z","","","Included","gpt-5.5-extra-high","Yes","0","76025","1645119","6337","1727481","Included"
"2026-04-29T21:33:20.738Z","","","Included","gpt-5.5-extra-high","Yes","0","72304","374773","15708","462785","Included"
"2026-04-29T21:25:55.516Z","","","Included","gpt-5.5-extra-high","Yes","0","9337","88074","3673","101084","Included"
"2026-04-29T21:24:10.949Z","","","Included","gpt-5.5-extra-high","Yes","0","34566","11168","875","46609","Included"
"2026-04-29T21:21:39.384Z","","","Included","gpt-5.5-extra-high","Yes","0","35712","131528","1956","169196","Included"
"2026-04-29T21:17:48.852Z","","","Included","gpt-5.5-extra-high","Yes","0","32335","86913","1140","120388","Included"
"2026-04-29T21:12:34.176Z","","","Included","gpt-5.5-extra-high","Yes","0","49827","61895","1722","113444","Included"
"2026-04-29T21:07:55.526Z","","","Included","gpt-5.5-extra-high","Yes","0","31056","60488","4391","95935","Included"
"2026-04-29T21:07:07.810Z","","","Included","gpt-5.5-extra-high","Yes","0","13436","8704","807","22947","Included"
"2026-04-29T20:06:35.227Z","","","Included","gpt-5.5-extra-high","Yes","0","11044","9101","1560","21705","Included"
"2026-04-29T19:49:28.946Z","","","Included","gpt-5.5-medium","Yes","0","36636","100355","2288","139279","Included"
"2026-04-29T19:32:10.468Z","","","Included","gpt-5.5-extra-high","Yes","0","137641","152607","1577","291825","Included"
"2026-04-29T18:51:34.185Z","","","Included","gpt-5.5-extra-high","Yes","0","149955","3038346","17148","3205449","Included"
"2026-04-29T18:47:56.252Z","","","Included","composer-2-fast","Yes","0","45108","291024","4928","341060","Included"
"2026-04-29T18:47:53.363Z","","","Included","composer-2-fast","Yes","0","34179","161286","4553","200018","Included"
"2026-04-29T18:47:34.088Z","","","Included","gpt-5.5-extra-high","Yes","0","63966","397911","5415","467292","Included"
"2026-04-29T18:44:19.538Z","","","Included","gpt-5.5-extra-high","Yes","0","115001","269312","2392","386705","Included"
"2026-04-29T17:52:44.261Z","","","Included","gpt-5.5-extra-high","Yes","0","832609","741974","7324","1581907","Included"
"2026-04-29T17:49:25.675Z","","","Included","gpt-5.5-extra-high","Yes","0","112577","232962","3191","348730","Included"
"2026-04-29T17:43:28.369Z","","","Included","gpt-5.5-extra-high","Yes","0","137109","269716","1103","407928","Included"
"2026-04-29T17:40:01.800Z","","","Included","gpt-5.5-extra-high","Yes","0","571742","866398","8926","1447066","Included"
"2026-04-29T17:37:59.719Z","","","Included","gpt-5.5-extra-high","Yes","0","54224","415795","4582","474601","Included"
"2026-04-29T17:33:27.066Z","","","Included","gpt-5.5-extra-high","Yes","0","107667","534050","4436","646153","Included"
"2026-04-29T17:29:39.051Z","","","Included","gpt-5.5-extra-high","Yes","0","8551","21952","1188","31691","Included"
"2026-04-29T17:23:48.771Z","","","Included","gpt-5.5-extra-high","Yes","0","20926","49675","1615","72216","Included"
"2026-04-29T17:14:42.836Z","","","Included","gpt-5.5-extra-high","Yes","0","1003","29605","338","30946","Included"
"2026-04-29T17:11:13.068Z","","","Included","gpt-5.5-extra-high","Yes","0","6246","19401","665","26312","Included"
"2026-04-29T17:07:26.785Z","","","Included","gpt-5.5-extra-high","Yes","0","2357","81825","597","84779","Included"
"2026-04-29T17:06:47.814Z","","","Included","gpt-5.5-extra-high","Yes","0","1338","28088","766","30192","Included"
"2026-04-29T17:03:58.310Z","","","Included","gpt-5.5-extra-high","Yes","0","3927","25029","1056","30012","Included"
"2026-04-29T16:59:52.526Z","","","Included","gpt-5.5-extra-high","Yes","0","9851","41964","1822","53637","Included"
"2026-04-29T16:59:07.810Z","","","Included","gpt-5.5-extra-high","Yes","0","14883","7680","475","23038","Included"
"2026-04-29T16:49:32.534Z","","","Included","gpt-5.5-extra-high","Yes","0","17562","106024","2370","125956","Included"
"2026-04-29T16:27:00.354Z","","","Included","claude-opus-4-7-thinking-max","Yes","4093","1150","58106","2505","65854","Included"
"2026-04-29T16:23:46.020Z","","","Included","claude-opus-4-7-thinking-max","Yes","607","1153","57500","3934","63194","Included"
"2026-04-29T16:23:32.073Z","","","Included","claude-opus-4-7-thinking-max","Yes","55524","6","0","8","55538","Included"
"2026-04-29T16:16:56.003Z","","","Included","claude-opus-4-7-thinking-max","Yes","2444","1130","52725","2839","59138","Included"
"2026-04-29T16:13:12.020Z","","","Included","claude-opus-4-7-thinking-max","Yes","2626","1276","50117","2442","56461","Included"
"2026-04-29T16:09:50.665Z","","","Included","claude-opus-4-7-thinking-max","Yes","47523","1212","49701","2634","101070","Included"
"2026-04-29T16:02:07.853Z","","","Included","claude-opus-4-7-thinking-max","Yes","3807","1197","42632","3186","50822","Included"
"2026-04-29T15:57:50.875Z","","","Included","claude-opus-4-7-thinking-max","Yes","40048","1602","78560","4403","124613","Included"
"2026-04-29T15:56:27.862Z","","","Included","composer-2-fast","Yes","0","12978","43297","2122","58397","Included"
"2026-04-28T22:10:51.613Z","","","Included","gpt-5.5-extra-high","Yes","0","37628","11334","1645","50607","Included"
"2026-04-28T21:27:11.337Z","","","Included","gpt-5.5-extra-high","Yes","0","43922","107520","2350","153792","Included"
"2026-04-28T21:14:00.314Z","","","Included","gpt-5.5-extra-high","Yes","0","134185","397314","3439","534938","Included"
"2026-04-28T21:13:37.071Z","","","Included","gpt-5.5-extra-high","Yes","0","61677","79362","1272","142311","Included"
"2026-04-28T21:11:46.969Z","","","Included","gpt-5.5-extra-high","Yes","0","215716","679936","3988","899640","Included"
"2026-04-28T21:09:39.579Z","","","Included","gpt-5.5-extra-high","Yes","0","12443","261120","1096","274659","Included"
"2026-04-28T21:07:11.657Z","","","Included","gpt-5.5-extra-high","Yes","0","11655","147324","1039","160018","Included"
"2026-04-28T21:06:02.823Z","","","Included","gpt-5.5-extra-high","Yes","0","9855","44399","1782","56036","Included"
"2026-04-28T21:02:07.033Z","","","Included","gpt-5.5-extra-high","Yes","0","51566","983009","5302","1039877","Included"
"2026-04-28T20:59:47.154Z","","","Included","gpt-5.5-extra-high","Yes","0","24815","145288","1265","171368","Included"
"2026-04-28T20:56:53.633Z","","","Included","gpt-5.5-extra-high","Yes","0","50159","268822","6814","325795","Included"
"2026-04-28T20:51:00.299Z","","","Included","gpt-5.5-extra-high","Yes","0","40294","1597999","14316","1652609","Included"
"2026-04-28T20:49:33.468Z","","","Included","gpt-5.5-extra-high","Yes","0","14861","277504","1769","294134","Included"
"2026-04-28T20:44:11.031Z","","","Included","gpt-5.5-extra-high","Yes","0","66821","189462","7490","263773","Included"
"2026-04-28T20:42:57.945Z","","","Included","gpt-5.5-extra-high","Yes","0","0","0","0","0","Included"
"2026-04-28T20:40:30.162Z","","","Included","gpt-5.5-extra-high","Yes","0","56073","74808","4516","135397","Included"
"2026-04-28T20:22:02.088Z","","","Included","gpt-5.5-extra-high","Yes","0","80443","75264","4457","160164","Included"
"2026-04-28T19:53:58.325Z","","","Included","gpt-5.5-extra-high","Yes","0","39219","1949241","23096","2011556","Included"
"2026-04-28T19:48:32.084Z","","","Included","gpt-5.5-extra-high","Yes","0","31465","1582080","13439","1626984","Included"
"2026-04-28T19:46:43.448Z","","","Aborted, Not Charged","gpt-5.5-extra-high","Yes","0","0","0","0","0","0.00"
"2026-04-28T19:28:42.814Z","","","Included","gpt-5.5-extra-high","Yes","0","91100","1021952","19180","1132232","Included"
"2026-04-28T19:22:39.014Z","","","Included","gpt-5.5-extra-high","Yes","0","49787","21992","1359","73138","Included"
"2026-04-28T19:17:56.561Z","","","Included","gpt-5.5-extra-high","Yes","0","76215","159832","5658","241705","Included"
"2026-04-28T19:14:32.655Z","","","Included","gpt-5.5-extra-high","Yes","0","24387","23040","1463","48890","Included"
"2026-04-28T19:01:11.075Z","","","Included","gpt-5.5-extra-high","Yes","0","14018","7086","508","21612","Included"
"2026-04-28T17:09:46.582Z","","","Included","gpt-5.5-extra-high","Yes","0","56245","538587","2166","596998","Included"
"2026-04-28T17:09:40.141Z","","","Aborted, Not Charged","gpt-5.5-extra-high","Yes","0","0","0","0","0","0.00"
"2026-04-28T17:05:05.235Z","","","Included","gpt-5.5-extra-high","Yes","0","87932","98833","1305","188070","Included"
"2026-04-28T17:00:46.389Z","","","Included","gpt-5.5-extra-high","Yes","0","54465","892956","3870","951291","Included"
"2026-04-28T16:56:35.657Z","","","Included","gpt-5.5-extra-high","Yes","0","87161","564212","5263","656636","Included"
"2026-04-28T16:53:12.682Z","","","Included","gpt-5.5-extra-high","Yes","0","39129","583712","6696","629537","Included"
"2026-04-28T16:52:58.068Z","","","Included","gpt-5.5-extra-high","Yes","0","0","0","0","0","Included"
"2026-04-28T16:50:18.369Z","","","Included","gpt-5.5-extra-high","Yes","0","109899","229451","3332","342682","Included"
"2026-04-28T16:48:56.205Z","","","Included","gpt-5.5-extra-high","Yes","0","67427","128069","3581","199077","Included"
"2026-04-28T16:21:12.729Z","","","Included","gpt-5.5-extra-high","Yes","0","132975","1856683","8966","1998624","Included"
"2026-04-28T16:14:57.703Z","","","Included","gpt-5.5-extra-high","Yes","0","22035","19968","4","42007","Included"
"2026-04-28T16:13:46.507Z","","","Included","composer-2-fast","Yes","0","102748","512682","8384","623814","Included"
"2026-04-28T16:13:30.551Z","","","Included","gpt-5.5-extra-high","Yes","0","53583","242246","4525","300354","Included"
"2026-04-28T15:30:33.644Z","","","Included","gpt-5.5-extra-high","Yes","0","217543","1884826","7989","2110358","Included"
"2026-04-28T15:21:23.073Z","","","Included","gpt-5.5-extra-high","Yes","0","43552","161829","3387","208768","Included"
"2026-04-28T15:11:27.153Z","","","Included","gpt-5.5-extra-high","Yes","0","49414","62940","1136","113490","Included"
"2026-04-27T21:53:52.059Z","","","Included","gpt-5.5-extra-high","Yes","0","41842","620625","4497","666964","Included"
"2026-04-27T21:53:11.517Z","","","Included","gpt-5.5-extra-high","Yes","0","14531","19417","672","34620","Included"
"2026-04-27T21:50:34.664Z","","","Included","composer-2-fast","Yes","0","27552","190964","6512","225028","Included"
"2026-04-27T21:50:34.418Z","","","Included","composer-2-fast","Yes","0","38879","154759","3594","197232","Included"
"2026-04-27T21:50:26.071Z","","","Included","gpt-5.5-extra-high","Yes","0","15081","94727","3373","113181","Included"
"2026-04-27T21:43:43.866Z","","","Included","gpt-5.5-extra-high","Yes","0","173456","452543","1178","627177","Included"
"2026-04-27T21:29:00.668Z","","","Included","gpt-5.5-extra-high","Yes","0","439726","16362811","40074","16842611","Included"
"2026-04-27T21:28:25.954Z","","","Included","gpt-5.5-extra-high","Yes","0","17953","51721","1275","70949","Included"
"2026-04-27T21:27:40.899Z","","","Included","gpt-5.5-extra-high","Yes","0","10079","90048","1124","101251","Included"
"2026-04-27T21:20:49.918Z","","","Included","composer-2-fast","Yes","0","54503","207688","4468","266659","Included"
"2026-04-27T21:20:49.831Z","","","Included","composer-2-fast","Yes","0","23648","249849","4840","278337","Included"
"2026-04-27T21:20:40.664Z","","","Included","gpt-5.5-extra-high","Yes","0","14572","93715","4718","113005","Included"
"2026-04-27T21:15:47.584Z","","","Included","gpt-5.5-extra-high","Yes","0","67958","80347","2934","151239","Included"
"2026-04-27T21:13:59.899Z","","","Included","gpt-5.5-extra-high","Yes","0","125756","666112","3879","795747","Included"
"2026-04-27T21:12:48.347Z","","","Included","gpt-5.5-extra-high","Yes","0","6747","77327","1824","85898","Included"
"2026-04-27T21:12:22.971Z","","","Included","gpt-5.5-extra-high","Yes","0","62852","180741","2059","245652","Included"
"2026-04-27T21:10:54.848Z","","","Included","gpt-5.5-extra-high","Yes","0","59348","19457","2068","80873","Included"
"2026-04-27T21:02:08.295Z","","","Included","composer-2-fast","Yes","0","71079","276936","6122","354137","Included"
"2026-04-27T21:02:08.287Z","","","Included","composer-2-fast","Yes","0","60994","254376","5460","320830","Included"
"2026-04-27T21:01:46.474Z","","","Included","gpt-5.5-extra-high","Yes","0","62454","361597","9066","433117","Included"
"2026-04-27T20:57:53.713Z","","","Included","gpt-5.5-extra-high","Yes","0","92572","546816","2149","641537","Included"
"2026-04-27T20:53:46.415Z","","","Included","gpt-5.5-extra-high","Yes","0","146041","2531328","12764","2690133","Included"
"2026-04-27T20:52:40.913Z","","","Included","gpt-5.5-extra-high","Yes","0","59369","11270","1267","71906","Included"
"2026-04-27T20:49:13.389Z","","","Included","gpt-5.5-extra-high","Yes","0","35694","33191","2953","71838","Included"
"2026-04-27T20:44:11.721Z","","","Included","composer-2-fast","Yes","0","32159","165079","5605","202843","Included"
"2026-04-27T20:44:10.178Z","","","Included","composer-2-fast","Yes","0","25944","143457","5079","174480","Included"
"2026-04-27T20:43:49.109Z","","","Included","gpt-5.5-extra-high","Yes","0","56180","412160","4083","472423","Included"
"2026-04-27T20:37:09.557Z","","","Included","composer-2-fast","Yes","0","69411","186316","5852","261579","Included"
"2026-04-27T20:37:09.523Z","","","Included","composer-2-fast","Yes","0","40075","223534","3988","267597","Included"
"2026-04-27T20:36:39.922Z","","","Included","gpt-5.5-extra-high","Yes","0","58446","318464","3627","380537","Included"
"2026-04-27T20:11:50.592Z","","","Included","gpt-5.5-extra-high","Yes","0","150768","3967708","19127","4137603","Included"
"2026-04-27T20:11:01.996Z","","","Included","gpt-5.5-extra-high","Yes","0","52795","22505","1157","76457","Included"
"2026-04-27T20:08:18.008Z","","","Included","composer-2-fast","Yes","0","22888","247867","5038","275793","Included"
"2026-04-27T20:08:17.864Z","","","Included","composer-2-fast","Yes","0","99453","96050","4734","200237","Included"
"2026-04-27T20:08:03.072Z","","","Included","gpt-5.5-extra-high","Yes","0","78406","368249","8040","454695","Included"
"2026-04-27T20:02:50.099Z","","","Aborted, Not Charged","composer-2-fast","Yes","0","0","0","0","0","0.00"
"2026-04-27T19:01:46.650Z","","","Included","gpt-5.5-extra-high","Yes","0","523551","13557981","20205","14101737","Included"
"2026-04-27T19:01:15.222Z","","","Included","gpt-5.5-extra-high","Yes","0","31373","141260","798","173431","Included"
"2026-04-27T18:58:33.414Z","","","Included","gpt-5.5-extra-high","Yes","0","16474","661961","2450","680885","Included"
"2026-04-27T18:45:14.063Z","","","Included","gpt-5.5-extra-high","Yes","0","158123","166901","3588","328612","Included"
"2026-04-27T18:42:59.846Z","","","Included","gpt-5.5-extra-high","Yes","0","135173","309268","4104","448545","Included"
"2026-04-27T18:38:21.475Z","","","Included","gpt-5.5-extra-high","Yes","0","148020","2061558","11725","2221303","Included"
"2026-04-27T18:24:03.243Z","","","Included","gpt-5.5-extra-high","Yes","0","43358","317424","3443","364225","Included"
"2026-04-27T18:01:34.768Z","","","Included","gpt-5.5-extra-high","Yes","0","61822","1048697","29718","1140237","Included"
"2026-04-27T17:59:16.541Z","","","Included","gpt-5.5-extra-high","Yes","0","28062","110152","5572","143786","Included"
"2026-04-27T17:56:19.661Z","","","Included","composer-2-fast","Yes","0","23498","224740","7163","255401","Included"
"2026-04-27T17:56:18.710Z","","","Included","composer-2-fast","Yes","0","12240","48196","2245","62681","Included"
"2026-04-27T17:55:54.166Z","","","Included","gpt-5.5-extra-high","Yes","0","11561","64526","3979","80066","Included"
"2026-04-27T17:55:21.823Z","","","Included","gpt-5.5-extra-high","Yes","0","2991","16896","411","20298","Included"
"2026-04-27T17:46:08.562Z","","","Included","gpt-5.5-extra-high","Yes","0","59494","812706","17539","889739","Included"
"2026-04-27T17:43:31.013Z","","","Included","composer-2-fast","Yes","0","147936","151310","6171","305417","Included"
"2026-04-27T17:43:15.560Z","","","Included","gpt-5.5-extra-high","Yes","0","17898","56820","3664","78382","Included"
